"","1","2","3","4"
"2-878-3_0_H15_1",8.91660212960348e-06,0.995326646005161,0.00316050629394301,0.00150393109876621
"2-895-1_0_F17_1",0.00150311726221136,0.994923979211268,0.00277206305115272,0.000800840475368034
"2-895-2_0_F17_1",0.00100252399702542,0.994835079469601,0.00327624092139277,0.00088615561198029
"2-895-3_0_G17_1",0.0009277218144136,0.995021794326156,0.00326502608874257,0.000785457770687943
"2-901-1_0_E18_1",0.000750519326860373,0.994119901742624,0.00338424160813531,0.00174533732238067
"2-901-2_0_G18_1",0.000484701652558811,0.994879471242881,0.0033173847676801,0.00131844233687966
"2-901-3_0_H18_1",8.9482916111733e-06,0.995349990608932,0.0031725215885956,0.00146853951086059
"2-908-1_0_E20_1",9.49236030564533e-06,0.995315131287927,0.00227474435426649,0.00240063199750097
"2-908-2_0_F20_1",9.26431814229442e-06,0.995214788760886,0.00243827416373945,0.00233767275723181
"2-908-3_0_G20_1",9.38161854902989e-06,0.995110325185023,0.0027887586572955,0.00209153453913234
"2-915-1_0_E21_1",0.00155605373676278,0.994856439774496,0.00244290846814713,0.00114459802059401
"2-915-2_0_F21_1",0.00168874636231589,0.994055093435548,0.00250111343324485,0.00175504676889116
"2-915-3_0_G21_1",0.00168357176526648,0.993770838802827,0.00273374462992708,0.00181184480197954
"2-921-1_0_E22_1",0.00124974532999192,0.993796079705118,0.00333171876757936,0.00162245619731168
"2-921-2_0_F22_1",0.00114935760463598,0.993725173723371,0.00331350999663079,0.00181195867536157
"2-921-3_0_G22_1",0.00134243564044771,0.993892298742065,0.00325452514515986,0.00151074047232722
"3-163-1_0_I4_1",0.00198853380610485,0.0048099802627639,0.989662105295309,0.00353938063582315
"3-163-2_0_K4_1",0.00203346105316548,0.00443758070786788,0.989117290938883,0.00441166730008324
"3-163-3_0_L4_1",0.00256093444197757,0.00440771713320676,0.988413615973727,0.00461773245108864
"3-272-1_0_I5_1",0.00166134529372031,0.00240780338775045,0.991578972305014,0.00435187901351532
"3-272-2_0_K5_1",0.000237489289680756,0.00270093908144998,0.992902439898845,0.00415913173002497
"3-272-3_0_K5_1",0.00189604629573728,0.0047716852577431,0.989791305045068,0.00354096340145117
"3-339-1_0_I6_1",0.00133281809348865,0.00413924908422774,0.993138681567959,0.00138925125432418
"3-339-2_0_J6_1",0.0016603009438741,0.00468256350576469,0.989959718170095,0.00369741738026609
"3-339-3_0_K6_1",0.0021883458369487,0.00492797271924219,0.989422228727286,0.00346145271652348
"3-447-1_0_I7_1",0.00178353737410608,0.00475529240271921,0.99003643416325,0.00342473605992515
"3-447-2_0_J7_1",0.00149101775743516,0.00357060427846573,0.990372252820354,0.0045661251437445
"3-447-3_0_K7_1",0.00167470672127943,0.00439349871408757,0.989609853982141,0.00432194058249153
"3-463-1_0_I8_1",0.00152541226853315,0.00291367747382331,0.991044200011369,0.00451671024627494
"3-463-2_0_J8_1",0.00144584681643044,0.00258955113191076,0.991527490489179,0.0044371115624803
"3-463-3_0_K8_1",0.00105023395249113,0.0043404512687179,0.992200650749066,0.00240866402972423
"3-623-1_0_I9_1",0.00391477363063239,0.00376600583918118,0.988271762391291,0.00404745813889537
"3-623-2_0_J9_1",0.00297503653254223,0.00472281485176893,0.988048925132341,0.00425322348334753
"3-623-3_0_K9_1",0.0046481685611445,0.00236422376011224,0.989572196351554,0.00341541132718933
"3-694-1_0_I11_1",0.00261901721230232,0.00239820479550687,0.990346685535892,0.00463609245629823
"3-694-2_0_K11_1",0.00163791172174286,0.00404367748866478,0.989788616372807,0.00452979441678507
"3-694-3_0_L11_1",0.0017065215377533,0.00418005374613578,0.989618333142583,0.00449509157352817
